In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-02-13 01:07:00,2018-02-13 08:59:00,7:52,7:52,0:00,--,5:15,1:58,47,--,--
2018-02-15 01:25:00,2018-02-15 09:28:00,8:03,7:43,0:20,--,5:15,1:26,49,--,--
2018-02-16 00:30:00,2018-02-16 09:13:00,9:13,8:43,0:30,--,6:09,2:40,51,--,--
2018-02-17 01:33:00,2018-02-17 10:00:00,8:27,7:43,0:44,--,4:58,2:39,52,--,--
2018-02-18 01:25:00,2018-02-18 10:14:00,8:49,8:20,0:29,--,5:44,2:08,49,--,--
2018-02-19 01:13:00,2018-02-19 08:42:00,7:29,7:29,0:00,--,5:19,2:44,49,--,--
2018-02-20 00:43:00,2018-02-20 09:32:00,8:49,6:37,2:12,--,4:12,1:39,52,--,--
2018-02-21 01:00:00,2018-02-21 10:03:00,9:03,7:10,1:53,--,5:19,3:27,51,--,--
2018-02-22 02:06:00,2018-02-22 10:02:00,7:56,7:41,0:15,--,5:31,2:43,50,--,--
2018-02-23 03:58:00,2018-02-23 14:43:00,10:45,7:05,3:40,--,4:45,2:55,53,--,--
2018-02-25 01:35:00,2018-02-25 07:48:00,9:18,9:18,0:00,--,6:34,3:41,47,--,--
